uid,object_id,seen,description
019c8ff2-e547-420e-b775-d8089d6b9653,18,no,This looks like a bread loaf surrounded by another bread loaf.
019c8ff2-e547-420e-b775-d8089d6b9653,8,no,This looks like a donut on a stick
019c8ff2-e547-420e-b775-d8089d6b9653,22,yes,Molecule
019c8ff2-e547-420e-b775-d8089d6b9653,16,yes,Kid's toy
019c8ff2-e547-420e-b775-d8089d6b9653,7,yes,Scarecrow
019c8ff2-e547-420e-b775-d8089d6b9653,28,no,Two half circles are closed around two rounded rectangles
019c8ff2-e547-420e-b775-d8089d6b9653,6,no,There is an almost complete circle with a rounded rectangle and a triangle on top
019c8ff2-e547-420e-b775-d8089d6b9653,9,yes,House
019c8ff2-e547-420e-b775-d8089d6b9653,12,yes,Trophy
019c8ff2-e547-420e-b775-d8089d6b9653,5,yes,Lighthouse on an island
019c8ff2-e547-420e-b775-d8089d6b9653,13,yes,Car
019c8ff2-e547-420e-b775-d8089d6b9653,19,yes,Kid's toy
019c8ff2-e547-420e-b775-d8089d6b9653,1,yes,Mushroom
019c8ff2-e547-420e-b775-d8089d6b9653,23,no,"A triangle with a smaller triangle cut out, with three rounded rectangles on each side"
019c8ff2-e547-420e-b775-d8089d6b9653,27,yes,TV
019c8ff2-e547-420e-b775-d8089d6b9653,15,yes,molecule
019c8ff2-e547-420e-b775-d8089d6b9653,26,yes,massage gun
019c8ff2-e547-420e-b775-d8089d6b9653,11,yes,christmas ornament
019c8ff2-e547-420e-b775-d8089d6b9653,3,yes,dradel
019c8ff2-e547-420e-b775-d8089d6b9653,14,yes,hot dog store
019c8ff2-e547-420e-b775-d8089d6b9653,29,yes,baby toy
019c8ff2-e547-420e-b775-d8089d6b9653,21,yes,hot dog
019c8ff2-e547-420e-b775-d8089d6b9653,17,yes,diamonds
019c8ff2-e547-420e-b775-d8089d6b9653,25,yes,hammer
019c8ff2-e547-420e-b775-d8089d6b9653,30,yes,tutu
019c8ff2-e547-420e-b775-d8089d6b9653,24,yes,bolt
019c8ff2-e547-420e-b775-d8089d6b9653,10,yes,space ship
019c8ff2-e547-420e-b775-d8089d6b9653,20,no,a rounded triangle with four circles
019c8ff2-e547-420e-b775-d8089d6b9653,4,yes,house
019c8ff2-e547-420e-b775-d8089d6b9653,2,yes,bus
99abcc64-81e0-4547-8a6a-75cfd27c1f12,24,yes,Back Massage Roller
99abcc64-81e0-4547-8a6a-75cfd27c1f12,26,yes,Back Massager
99abcc64-81e0-4547-8a6a-75cfd27c1f12,11,no,Some orb
99abcc64-81e0-4547-8a6a-75cfd27c1f12,2,yes,Bop it
99abcc64-81e0-4547-8a6a-75cfd27c1f12,8,yes,Socket
99abcc64-81e0-4547-8a6a-75cfd27c1f12,14,yes,Table
99abcc64-81e0-4547-8a6a-75cfd27c1f12,6,no,Donut with butter
99abcc64-81e0-4547-8a6a-75cfd27c1f12,9,yes,House
99abcc64-81e0-4547-8a6a-75cfd27c1f12,5,yes,Castle Tower
99abcc64-81e0-4547-8a6a-75cfd27c1f12,16,no,Baby toy
99abcc64-81e0-4547-8a6a-75cfd27c1f12,3,no,4D Cube
99abcc64-81e0-4547-8a6a-75cfd27c1f12,1,yes,Children's toy
99abcc64-81e0-4547-8a6a-75cfd27c1f12,15,yes,Snowflake
99abcc64-81e0-4547-8a6a-75cfd27c1f12,22,no,Legs buckling
99abcc64-81e0-4547-8a6a-75cfd27c1f12,19,yes,Chinese Calculator
99abcc64-81e0-4547-8a6a-75cfd27c1f12,10,yes,Wobuffet
99abcc64-81e0-4547-8a6a-75cfd27c1f12,18,no,sandwich
99abcc64-81e0-4547-8a6a-75cfd27c1f12,21,no,Toast
99abcc64-81e0-4547-8a6a-75cfd27c1f12,28,no,Lock
99abcc64-81e0-4547-8a6a-75cfd27c1f12,4,no,School
99abcc64-81e0-4547-8a6a-75cfd27c1f12,25,yes,Hammer
99abcc64-81e0-4547-8a6a-75cfd27c1f12,7,yes,Cactus
99abcc64-81e0-4547-8a6a-75cfd27c1f12,13,yes,Vacuum Head
99abcc64-81e0-4547-8a6a-75cfd27c1f12,23,no,Ark Reactor
99abcc64-81e0-4547-8a6a-75cfd27c1f12,17,yes,Shell
99abcc64-81e0-4547-8a6a-75cfd27c1f12,12,yes,Bomb
99abcc64-81e0-4547-8a6a-75cfd27c1f12,27,yes,Antenna
99abcc64-81e0-4547-8a6a-75cfd27c1f12,20,yes,Turret
99abcc64-81e0-4547-8a6a-75cfd27c1f12,29,no,Gate
99abcc64-81e0-4547-8a6a-75cfd27c1f12,30,yes,Clover
f80effe7-c388-4427-ab48-c1bcbc38b45a,11,no,A slightly round & diamond-shaped with four orbs on each corner and square in the middle
f80effe7-c388-4427-ab48-c1bcbc38b45a,13,no,triangular prism with two triangular prisms on two sides & two round objects on top 
f80effe7-c388-4427-ab48-c1bcbc38b45a,15,no,an art objet that serves as paper holder
f80effe7-c388-4427-ab48-c1bcbc38b45a,26,yes,scalp massager 
f80effe7-c388-4427-ab48-c1bcbc38b45a,8,yes,Screw drivers / screw holder ring
f80effe7-c388-4427-ab48-c1bcbc38b45a,18,no,two rectangular prisms with round edges that have been glued on the longer side with two round-edged triangular prisms passing thorough horizontally 
f80effe7-c388-4427-ab48-c1bcbc38b45a,28,no,two round-edged rectangular prisms that are separate from each other is connected through two round-edged triangular prisms on the top and bottom 
f80effe7-c388-4427-ab48-c1bcbc38b45a,3,no,hexagonal prism with three small triangular prisms on top and a smaller hexagonal prism on the very top 
f80effe7-c388-4427-ab48-c1bcbc38b45a,2,yes,dumbbell 
94bfb47d-e23d-4f05-ab1b-6ada135df463,2,yes,the pole on the fence
94bfb47d-e23d-4f05-ab1b-6ada135df463,17,yes,animation of dinasour's head
94bfb47d-e23d-4f05-ab1b-6ada135df463,4,yes,a part of lego
94bfb47d-e23d-4f05-ab1b-6ada135df463,26,yes,a kind of hairstyle
f80effe7-c388-4427-ab48-c1bcbc38b45a,14,no,a surf board shaped object on top of rectangular pyramid which is also on top of three rectangular prisms 
94bfb47d-e23d-4f05-ab1b-6ada135df463,18,yes,a kind of buffer
94bfb47d-e23d-4f05-ab1b-6ada135df463,22,yes,automatic message tool
