uid,trial_id,object_id,x,y
019c8ff2-e547-420e-b775-d8089d6b9653,1,21,149,120
019c8ff2-e547-420e-b775-d8089d6b9653,1,6,352,238
019c8ff2-e547-420e-b775-d8089d6b9653,1,24,560,120
019c8ff2-e547-420e-b775-d8089d6b9653,1,12,177,386
019c8ff2-e547-420e-b775-d8089d6b9653,1,9,159,166
019c8ff2-e547-420e-b775-d8089d6b9653,1,5,189,384
019c8ff2-e547-420e-b775-d8089d6b9653,1,22,900,275
019c8ff2-e547-420e-b775-d8089d6b9653,1,1,868,311
019c8ff2-e547-420e-b775-d8089d6b9653,1,29,322,249
019c8ff2-e547-420e-b775-d8089d6b9653,1,16,364,231
019c8ff2-e547-420e-b775-d8089d6b9653,1,2,322,263
019c8ff2-e547-420e-b775-d8089d6b9653,1,27,608,130
019c8ff2-e547-420e-b775-d8089d6b9653,1,11,147,107
019c8ff2-e547-420e-b775-d8089d6b9653,1,23,132,146
019c8ff2-e547-420e-b775-d8089d6b9653,1,13,185,383
019c8ff2-e547-420e-b775-d8089d6b9653,1,26,867,309
019c8ff2-e547-420e-b775-d8089d6b9653,2,13,320,120
019c8ff2-e547-420e-b775-d8089d6b9653,2,3,287,120
019c8ff2-e547-420e-b775-d8089d6b9653,2,7,136,213
019c8ff2-e547-420e-b775-d8089d6b9653,2,15,680,120
019c8ff2-e547-420e-b775-d8089d6b9653,2,28,678,93
019c8ff2-e547-420e-b775-d8089d6b9653,2,21,696,249
019c8ff2-e547-420e-b775-d8089d6b9653,2,10,128,239
019c8ff2-e547-420e-b775-d8089d6b9653,2,30,680,240
019c8ff2-e547-420e-b775-d8089d6b9653,2,11,320,118
019c8ff2-e547-420e-b775-d8089d6b9653,2,5,333,147
019c8ff2-e547-420e-b775-d8089d6b9653,2,19,665,243
019c8ff2-e547-420e-b775-d8089d6b9653,2,2,680,262
019c8ff2-e547-420e-b775-d8089d6b9653,2,14,311,129
019c8ff2-e547-420e-b775-d8089d6b9653,2,17,316,149
019c8ff2-e547-420e-b775-d8089d6b9653,2,4,123,242
019c8ff2-e547-420e-b775-d8089d6b9653,2,20,102,213
019c8ff2-e547-420e-b775-d8089d6b9653,3,18,415,121
019c8ff2-e547-420e-b775-d8089d6b9653,3,1,440,120
019c8ff2-e547-420e-b775-d8089d6b9653,3,28,442,119
019c8ff2-e547-420e-b775-d8089d6b9653,3,8,680,120
019c8ff2-e547-420e-b775-d8089d6b9653,3,24,167,240
019c8ff2-e547-420e-b775-d8089d6b9653,3,15,207,240
019c8ff2-e547-420e-b775-d8089d6b9653,3,17,657,149
019c8ff2-e547-420e-b775-d8089d6b9653,3,22,681,146
019c8ff2-e547-420e-b775-d8089d6b9653,3,6,212,276
019c8ff2-e547-420e-b775-d8089d6b9653,3,13,440,360
019c8ff2-e547-420e-b775-d8089d6b9653,3,25,446,357
019c8ff2-e547-420e-b775-d8089d6b9653,3,3,680,149
019c8ff2-e547-420e-b775-d8089d6b9653,3,20,446,367
019c8ff2-e547-420e-b775-d8089d6b9653,3,27,439,314
019c8ff2-e547-420e-b775-d8089d6b9653,3,16,429,376
019c8ff2-e547-420e-b775-d8089d6b9653,3,23,441,157
019c8ff2-e547-420e-b775-d8089d6b9653,4,17,320,120
019c8ff2-e547-420e-b775-d8089d6b9653,4,9,360,120
019c8ff2-e547-420e-b775-d8089d6b9653,4,20,359,124
019c8ff2-e547-420e-b775-d8089d6b9653,4,19,428,316
019c8ff2-e547-420e-b775-d8089d6b9653,4,26,218,426
019c8ff2-e547-420e-b775-d8089d6b9653,4,30,374,172
019c8ff2-e547-420e-b775-d8089d6b9653,4,8,386,155
019c8ff2-e547-420e-b775-d8089d6b9653,4,12,195,426
019c8ff2-e547-420e-b775-d8089d6b9653,4,18,222,375
019c8ff2-e547-420e-b775-d8089d6b9653,4,7,224,395
019c8ff2-e547-420e-b775-d8089d6b9653,4,6,424,319
019c8ff2-e547-420e-b775-d8089d6b9653,4,27,409,335
019c8ff2-e547-420e-b775-d8089d6b9653,4,25,251,434
019c8ff2-e547-420e-b775-d8089d6b9653,4,10,355,168
019c8ff2-e547-420e-b775-d8089d6b9653,4,3,421,309
019c8ff2-e547-420e-b775-d8089d6b9653,4,29,434,323
019c8ff2-e547-420e-b775-d8089d6b9653,5,1,320,120
019c8ff2-e547-420e-b775-d8089d6b9653,5,8,665,119
019c8ff2-e547-420e-b775-d8089d6b9653,5,24,321,125
019c8ff2-e547-420e-b775-d8089d6b9653,5,10,680,120
019c8ff2-e547-420e-b775-d8089d6b9653,5,22,319,133
019c8ff2-e547-420e-b775-d8089d6b9653,5,6,543,365
019c8ff2-e547-420e-b775-d8089d6b9653,5,19,653,137
019c8ff2-e547-420e-b775-d8089d6b9653,5,4,680,94
019c8ff2-e547-420e-b775-d8089d6b9653,5,7,320,360
019c8ff2-e547-420e-b775-d8089d6b9653,5,14,282,360
019c8ff2-e547-420e-b775-d8089d6b9653,5,23,560,360
019c8ff2-e547-420e-b775-d8089d6b9653,5,2,567,360
019c8ff2-e547-420e-b775-d8089d6b9653,5,29,320,408
019c8ff2-e547-420e-b775-d8089d6b9653,5,16,320,361
019c8ff2-e547-420e-b775-d8089d6b9653,5,28,560,374
019c8ff2-e547-420e-b775-d8089d6b9653,5,30,560,398
019c8ff2-e547-420e-b775-d8089d6b9653,6,12,320,120
019c8ff2-e547-420e-b775-d8089d6b9653,6,21,653,125
019c8ff2-e547-420e-b775-d8089d6b9653,6,14,612,119
019c8ff2-e547-420e-b775-d8089d6b9653,6,28,680,120
019c8ff2-e547-420e-b775-d8089d6b9653,6,5,317,119
019c8ff2-e547-420e-b775-d8089d6b9653,6,25,346,150
019c8ff2-e547-420e-b775-d8089d6b9653,6,26,667,149
019c8ff2-e547-420e-b775-d8089d6b9653,6,9,675,124
019c8ff2-e547-420e-b775-d8089d6b9653,6,8,575,465
019c8ff2-e547-420e-b775-d8089d6b9653,6,15,336,138
019c8ff2-e547-420e-b775-d8089d6b9653,6,2,634,152
019c8ff2-e547-420e-b775-d8089d6b9653,6,11,679,137
019c8ff2-e547-420e-b775-d8089d6b9653,6,18,322,157
019c8ff2-e547-420e-b775-d8089d6b9653,6,4,575,481
019c8ff2-e547-420e-b775-d8089d6b9653,6,27,560,480
019c8ff2-e547-420e-b775-d8089d6b9653,6,29,579,480
99abcc64-81e0-4547-8a6a-75cfd27c1f12,1,22,214,120
99abcc64-81e0-4547-8a6a-75cfd27c1f12,1,18,440,120
99abcc64-81e0-4547-8a6a-75cfd27c1f12,1,7,807,533
99abcc64-81e0-4547-8a6a-75cfd27c1f12,1,3,727,110
99abcc64-81e0-4547-8a6a-75cfd27c1f12,1,30,360,198
99abcc64-81e0-4547-8a6a-75cfd27c1f12,1,12,741,525
99abcc64-81e0-4547-8a6a-75cfd27c1f12,1,2,339,523
99abcc64-81e0-4547-8a6a-75cfd27c1f12,1,15,822,237
99abcc64-81e0-4547-8a6a-75cfd27c1f12,1,11,146,554
99abcc64-81e0-4547-8a6a-75cfd27c1f12,1,9,440,360
99abcc64-81e0-4547-8a6a-75cfd27c1f12,1,21,560,360
99abcc64-81e0-4547-8a6a-75cfd27c1f12,1,25,764,469
99abcc64-81e0-4547-8a6a-75cfd27c1f12,1,16,320,480
99abcc64-81e0-4547-8a6a-75cfd27c1f12,1,6,133,275
99abcc64-81e0-4547-8a6a-75cfd27c1f12,1,19,800,480
99abcc64-81e0-4547-8a6a-75cfd27c1f12,1,5,858,480
99abcc64-81e0-4547-8a6a-75cfd27c1f12,2,1,177,122
99abcc64-81e0-4547-8a6a-75cfd27c1f12,2,7,648,470
99abcc64-81e0-4547-8a6a-75cfd27c1f12,2,28,243,172
99abcc64-81e0-4547-8a6a-75cfd27c1f12,2,27,556,307
99abcc64-81e0-4547-8a6a-75cfd27c1f12,2,30,377,240
99abcc64-81e0-4547-8a6a-75cfd27c1f12,2,21,440,240
99abcc64-81e0-4547-8a6a-75cfd27c1f12,2,14,560,240
99abcc64-81e0-4547-8a6a-75cfd27c1f12,2,13,597,200
99abcc64-81e0-4547-8a6a-75cfd27c1f12,2,8,143,440
99abcc64-81e0-4547-8a6a-75cfd27c1f12,2,16,440,360
99abcc64-81e0-4547-8a6a-75cfd27c1f12,2,29,181,399
99abcc64-81e0-4547-8a6a-75cfd27c1f12,2,20,798,413
99abcc64-81e0-4547-8a6a-75cfd27c1f12,2,17,762,496
99abcc64-81e0-4547-8a6a-75cfd27c1f12,2,10,740,368
99abcc64-81e0-4547-8a6a-75cfd27c1f12,2,3,558,376
99abcc64-81e0-4547-8a6a-75cfd27c1f12,2,4,316,392
99abcc64-81e0-4547-8a6a-75cfd27c1f12,3,13,59,116
99abcc64-81e0-4547-8a6a-75cfd27c1f12,3,3,475,140
99abcc64-81e0-4547-8a6a-75cfd27c1f12,3,6,768,340
99abcc64-81e0-4547-8a6a-75cfd27c1f12,3,2,205,121
99abcc64-81e0-4547-8a6a-75cfd27c1f12,3,26,151,538
99abcc64-81e0-4547-8a6a-75cfd27c1f12,3,22,624,151
99abcc64-81e0-4547-8a6a-75cfd27c1f12,3,20,308,329
99abcc64-81e0-4547-8a6a-75cfd27c1f12,3,19,277,293
99abcc64-81e0-4547-8a6a-75cfd27c1f12,3,10,229,362
99abcc64-81e0-4547-8a6a-75cfd27c1f12,3,24,822,489
99abcc64-81e0-4547-8a6a-75cfd27c1f12,3,28,803,346
99abcc64-81e0-4547-8a6a-75cfd27c1f12,3,23,817,349
99abcc64-81e0-4547-8a6a-75cfd27c1f12,3,14,146,90
99abcc64-81e0-4547-8a6a-75cfd27c1f12,3,12,233,324
99abcc64-81e0-4547-8a6a-75cfd27c1f12,3,11,557,384
99abcc64-81e0-4547-8a6a-75cfd27c1f12,3,15,587,421
99abcc64-81e0-4547-8a6a-75cfd27c1f12,4,18,239,552
99abcc64-81e0-4547-8a6a-75cfd27c1f12,4,1,229,340
99abcc64-81e0-4547-8a6a-75cfd27c1f12,4,20,557,375
99abcc64-81e0-4547-8a6a-75cfd27c1f12,4,23,391,414
99abcc64-81e0-4547-8a6a-75cfd27c1f12,4,26,802,487
99abcc64-81e0-4547-8a6a-75cfd27c1f12,4,19,567,541
99abcc64-81e0-4547-8a6a-75cfd27c1f12,4,9,488,303
99abcc64-81e0-4547-8a6a-75cfd27c1f12,4,24,324,299
99abcc64-81e0-4547-8a6a-75cfd27c1f12,4,27,320,360
99abcc64-81e0-4547-8a6a-75cfd27c1f12,4,17,692,458
99abcc64-81e0-4547-8a6a-75cfd27c1f12,4,5,460,488
99abcc64-81e0-4547-8a6a-75cfd27c1f12,4,13,693,379
99abcc64-81e0-4547-8a6a-75cfd27c1f12,4,28,320,480
99abcc64-81e0-4547-8a6a-75cfd27c1f12,4,8,492,516
99abcc64-81e0-4547-8a6a-75cfd27c1f12,4,25,560,480
99abcc64-81e0-4547-8a6a-75cfd27c1f12,4,6,245,471
99abcc64-81e0-4547-8a6a-75cfd27c1f12,5,2,254,252
99abcc64-81e0-4547-8a6a-75cfd27c1f12,5,27,638,285
99abcc64-81e0-4547-8a6a-75cfd27c1f12,5,17,479,370
99abcc64-81e0-4547-8a6a-75cfd27c1f12,5,11,556,199
99abcc64-81e0-4547-8a6a-75cfd27c1f12,5,29,123,440
99abcc64-81e0-4547-8a6a-75cfd27c1f12,5,15,428,257
99abcc64-81e0-4547-8a6a-75cfd27c1f12,5,8,333,412
99abcc64-81e0-4547-8a6a-75cfd27c1f12,5,26,559,300
99abcc64-81e0-4547-8a6a-75cfd27c1f12,5,4,320,360
99abcc64-81e0-4547-8a6a-75cfd27c1f12,5,14,440,360
99abcc64-81e0-4547-8a6a-75cfd27c1f12,5,22,670,457
99abcc64-81e0-4547-8a6a-75cfd27c1f12,5,12,446,493
99abcc64-81e0-4547-8a6a-75cfd27c1f12,5,6,111,480
99abcc64-81e0-4547-8a6a-75cfd27c1f12,5,30,505,480
99abcc64-81e0-4547-8a6a-75cfd27c1f12,5,25,560,480
99abcc64-81e0-4547-8a6a-75cfd27c1f12,5,1,88,480
99abcc64-81e0-4547-8a6a-75cfd27c1f12,6,10,168,120
99abcc64-81e0-4547-8a6a-75cfd27c1f12,6,25,208,120
99abcc64-81e0-4547-8a6a-75cfd27c1f12,6,16,596,229
99abcc64-81e0-4547-8a6a-75cfd27c1f12,6,19,264,177
99abcc64-81e0-4547-8a6a-75cfd27c1f12,6,21,374,225
99abcc64-81e0-4547-8a6a-75cfd27c1f12,6,18,440,376
99abcc64-81e0-4547-8a6a-75cfd27c1f12,6,29,716,378
99abcc64-81e0-4547-8a6a-75cfd27c1f12,6,4,476,241
99abcc64-81e0-4547-8a6a-75cfd27c1f12,6,23,635,366
99abcc64-81e0-4547-8a6a-75cfd27c1f12,6,5,180,170
99abcc64-81e0-4547-8a6a-75cfd27c1f12,6,9,559,340
99abcc64-81e0-4547-8a6a-75cfd27c1f12,6,7,278,107
99abcc64-81e0-4547-8a6a-75cfd27c1f12,6,30,463,205
99abcc64-81e0-4547-8a6a-75cfd27c1f12,6,14,440,456
99abcc64-81e0-4547-8a6a-75cfd27c1f12,6,26,547,474
99abcc64-81e0-4547-8a6a-75cfd27c1f12,6,24,431,355
94bfb47d-e23d-4f05-ab1b-6ada135df463,1,26,569,409
94bfb47d-e23d-4f05-ab1b-6ada135df463,1,21,440,120
94bfb47d-e23d-4f05-ab1b-6ada135df463,1,5,440,371
94bfb47d-e23d-4f05-ab1b-6ada135df463,1,29,680,120
94bfb47d-e23d-4f05-ab1b-6ada135df463,1,13,554,266
94bfb47d-e23d-4f05-ab1b-6ada135df463,1,24,443,109
94bfb47d-e23d-4f05-ab1b-6ada135df463,1,4,570,244
94bfb47d-e23d-4f05-ab1b-6ada135df463,1,8,324,364
94bfb47d-e23d-4f05-ab1b-6ada135df463,1,25,323,378
94bfb47d-e23d-4f05-ab1b-6ada135df463,1,19,440,360
94bfb47d-e23d-4f05-ab1b-6ada135df463,1,12,700,453
94bfb47d-e23d-4f05-ab1b-6ada135df463,1,23,727,113
94bfb47d-e23d-4f05-ab1b-6ada135df463,1,30,729,288
94bfb47d-e23d-4f05-ab1b-6ada135df463,1,3,440,480
94bfb47d-e23d-4f05-ab1b-6ada135df463,1,28,700,466
94bfb47d-e23d-4f05-ab1b-6ada135df463,1,10,580,403
94bfb47d-e23d-4f05-ab1b-6ada135df463,2,18,320,120
94bfb47d-e23d-4f05-ab1b-6ada135df463,2,14,440,120
94bfb47d-e23d-4f05-ab1b-6ada135df463,2,15,560,120
94bfb47d-e23d-4f05-ab1b-6ada135df463,2,3,680,480
94bfb47d-e23d-4f05-ab1b-6ada135df463,2,9,440,121
94bfb47d-e23d-4f05-ab1b-6ada135df463,2,16,323,127
94bfb47d-e23d-4f05-ab1b-6ada135df463,2,27,560,240
94bfb47d-e23d-4f05-ab1b-6ada135df463,2,6,680,240
94bfb47d-e23d-4f05-ab1b-6ada135df463,2,25,320,360
94bfb47d-e23d-4f05-ab1b-6ada135df463,2,22,570,112
94bfb47d-e23d-4f05-ab1b-6ada135df463,2,7,560,234
94bfb47d-e23d-4f05-ab1b-6ada135df463,2,19,546,482
94bfb47d-e23d-4f05-ab1b-6ada135df463,2,20,325,357
94bfb47d-e23d-4f05-ab1b-6ada135df463,2,29,682,231
94bfb47d-e23d-4f05-ab1b-6ada135df463,2,5,560,480
94bfb47d-e23d-4f05-ab1b-6ada135df463,2,11,680,480
94bfb47d-e23d-4f05-ab1b-6ada135df463,3,26,320,120
94bfb47d-e23d-4f05-ab1b-6ada135df463,3,24,673,494
94bfb47d-e23d-4f05-ab1b-6ada135df463,3,16,560,120
94bfb47d-e23d-4f05-ab1b-6ada135df463,3,20,680,120
94bfb47d-e23d-4f05-ab1b-6ada135df463,3,4,432,240
94bfb47d-e23d-4f05-ab1b-6ada135df463,3,28,440,240
94bfb47d-e23d-4f05-ab1b-6ada135df463,3,17,685,122
94bfb47d-e23d-4f05-ab1b-6ada135df463,3,2,554,124
94bfb47d-e23d-4f05-ab1b-6ada135df463,3,14,320,360
94bfb47d-e23d-4f05-ab1b-6ada135df463,3,12,440,360
94bfb47d-e23d-4f05-ab1b-6ada135df463,3,19,437,494
94bfb47d-e23d-4f05-ab1b-6ada135df463,3,1,426,358
94bfb47d-e23d-4f05-ab1b-6ada135df463,3,22,314,118
94bfb47d-e23d-4f05-ab1b-6ada135df463,3,8,439,480
94bfb47d-e23d-4f05-ab1b-6ada135df463,3,13,321,375
94bfb47d-e23d-4f05-ab1b-6ada135df463,3,27,680,480
94bfb47d-e23d-4f05-ab1b-6ada135df463,4,27,320,120
94bfb47d-e23d-4f05-ab1b-6ada135df463,4,30,440,120
94bfb47d-e23d-4f05-ab1b-6ada135df463,4,9,560,120
94bfb47d-e23d-4f05-ab1b-6ada135df463,4,1,571,116
94bfb47d-e23d-4f05-ab1b-6ada135df463,4,10,320,240
94bfb47d-e23d-4f05-ab1b-6ada135df463,4,18,440,240
94bfb47d-e23d-4f05-ab1b-6ada135df463,4,11,427,131
94bfb47d-e23d-4f05-ab1b-6ada135df463,4,8,323,235
94bfb47d-e23d-4f05-ab1b-6ada135df463,4,17,692,363
94bfb47d-e23d-4f05-ab1b-6ada135df463,4,13,440,360
94bfb47d-e23d-4f05-ab1b-6ada135df463,4,21,437,235
94bfb47d-e23d-4f05-ab1b-6ada135df463,4,20,680,360
94bfb47d-e23d-4f05-ab1b-6ada135df463,4,14,443,359
