object_id,n_yes,pct_yes,n_no,pct_no,concept,count,ratio,n_unique_concepts,all_concepts_counts,n_single_concepts,single_ratio,n_valid_responses
1,40,0.4166666666666667,39,0.40625,rainbow,16,0.16666666666666666,16,"{'rainbow': 16, 'semicircle': 3, 'toy': 3, 'house': 2, 'mushroom': 13, 'bag': 6, 'horseshoe': 1, 'grill press': 1, 'basket': 1, 'kiosk': 1, 'magnet': 2, 'handle': 1, 'purse': 1, 'curve': 1, 'bar': 1, 'table': 1}",54,0.574468085106383,94
2,42,0.4375,37,0.3854166666666667,dumbbell,14,0.14583333333333334,25,"{'dumbbell': 14, 'pacifier': 9, 'bop it': 1, 'weight': 4, 'chess pieces': 1, 'rolling pin': 2, 'bus': 1, 'hot dog': 1, 'core roller': 1, 'doorknob': 4, 'foot massager': 1, 'rattle': 1, 'wheel': 1, 'screw': 1, 'puzzle piece': 1, 'resistor': 1, 'pawn': 1, 'roller': 1, 'light': 1, 'fire hydrant': 1, 'toy': 1, 'chess': 1, 'microphone': 1, 'bar': 1, 'stopper': 1}",53,0.5578947368421052,95
3,38,0.3958333333333333,41,0.4270833333333333,hexagon,7,0.07291666666666667,35,"{'windmill': 2, 'flower': 5, 'doorstopper': 1, 'hexagon': 7, 'cube': 1, 'stamp': 2, 'wall cell': 1, 'screw': 4, 'satellite': 1, 'top': 1, 'dreidel': 1, 'ship': 1, 'piston': 1, 'table': 6, 'fan': 4, 'bottle': 1, 'puzzle piece': 1, 'mushroom': 1, 'hexagonal prism': 2, 'dradel': 1, 'octagon': 1, 'grinder top': 1, 'gaming accessory': 1, 'triangle': 1, 'doorknob': 2, 'nail': 2, 'fish': 1, 'hazard symbol': 1, 'box': 1, 'pinwheel': 1, 'shape': 1, 'stand': 1, 'tree': 1, 'wing': 1, 'umbrella': 1}",61,0.6421052631578947,95
4,28,0.2916666666666667,51,0.53125,block,6,0.0625,22,"{'clock building': 1, 'box': 2, 'stairs': 4, 'jungle maze': 1, 'school': 1, 'pipe': 1, 'pencil sharpener': 1, 'house': 1, 'block': 6, 'podium': 3, 'playground': 3, 'lego': 2, 'building': 1, 'tower': 1, 'rectangle': 1, 'cube': 2, 'weight': 1, 'bridge': 1, 'square': 1, 'tank': 2, 'speaker': 1, 'checkpoint': 1}",38,0.40425531914893614,94
5,45,0.46875,34,0.3541666666666667,toy,10,0.10416666666666667,33,"{'toy': 10, 'hut': 1, 'mushroom': 5, 'tower': 3, 'cone': 7, 'rocket launcher': 1, 'plunger': 2, 'sandcastle': 1, 'top': 1, 'fire hydrant': 2, 'lid': 1, 'lighthouse': 7, 'screw': 1, 'funnel': 1, 'building': 1, 'stick': 1, 'cup': 1, 'doorstopper': 1, 'cork stopper': 1, 'pyramid': 1, 'rocket': 2, 'juicer': 1, 'lamp': 1, 'man': 1, 'light': 1, 'water fountain': 1, 'tree': 1, 'plug': 1, 'ring toss': 1, 'bowl': 1, 'bar': 1, 'stool': 1, 'stopper': 1}",63,0.6631578947368421,95
6,15,0.15625,64,0.6666666666666666,donut,7,0.07291666666666667,24,"{'circle': 6, 'tier': 1, 'website icon': 1, 'incomplete o': 1, 'bench': 1, 'magnet': 3, 'comedy central logo': 1, 'lock': 1, 'couch': 1, 'key chain': 1, 'tape dispenser': 1, 'colorado logo': 1, 'donut': 7, 'semi-circle': 2, 'company logo': 1, 'curved': 1, 'recycle symbol': 1, 'cylinder': 1, 'pacman': 1, 'tape': 1, 'logo': 1, 'bar': 1, 'tube plugs': 1, 'ring': 1}",38,0.40860215053763443,93
7,40,0.4166666666666667,39,0.40625,tree,12,0.125,23,"{'scarecrow': 9, 'tree': 12, 'bird': 6, 'cactus': 1, 'bobo doll': 1, 'person': 1, 'pushpin': 1, 'inflatable air dancer': 1, 'mannequin': 1, 'pogo stick': 1, 'fighting dummy': 1, 'pear': 4, 'duck': 2, 'scooter handle': 1, 'snowman': 2, 'penguin': 1, 'seesaw': 1, 'cylinder': 2, 'dummy': 1, 'shreck': 1, 'roly-poly': 1, 'bar': 1, 'man': 1}",53,0.5638297872340425,94
8,44,0.4583333333333333,35,0.3645833333333333,stop sign,5,0.052083333333333336,33,"{'stop sign': 5, 'pentagon': 1, 'socket': 1, 'light stick': 1, 'tunnel': 1, 'lollipop': 4, 'mailbox': 2, 'tool': 2, 'hexagon': 1, 'hoop': 1, 'hair dryer': 4, 'rench': 1, 'nut': 1, 'bolt nut': 1, 'screw hat': 1, 'wrench': 3, 'screw': 5, 'bolt': 4, 'quidditch': 1, 'ice cream': 1, 'sign': 1, 'washer': 1, 'hairdryer': 1, 'wand': 1, 'screwdriver': 1, 'dyson air roller': 1, 'kpop lipgloss': 1, 'dyson hair dryer': 1, 'mirror': 1, 'circle': 1, 'lego': 1, 'cookie mold': 1, 'key': 1}",54,0.574468085106383,94
9,61,0.6354166666666666,18,0.1875,house,63,0.65625,8,"{'house': 63, 'farm': 1, 'toy house': 1, 'barn': 3, 'mailbox': 3, 'cottage': 1, 'bar': 1, 'rectangle': 1}",74,0.7708333333333334,96
10,43,0.4479166666666667,36,0.375,fire hydrant,9,0.09375,39,"{'fire hydrant': 9, 'cactus': 1, 'wobbuffet': 2, 'mace head': 1, 'scuba mask': 1, 'vase': 1, 'rocket': 1, 'space ship': 1, 'pillar': 1, 'space rocket': 1, 'circular': 1, 'helmut': 1, 'clown': 2, 'medical equipment': 1, 'spaceship': 2, 'therapy roll': 1, 'toy': 3, 'message tool': 1, 'handle': 1, 'balloon': 1, 'thumb tack': 1, 'button': 1, 'light': 1, 'weapon': 1, 'robot': 1, 'mask': 1, 'tool': 1, 'sculpture': 1, 'sphere': 1, 'cartoon': 1, 'helmet': 1, 'alien': 1, 'spiked bat': 1, 'space hat': 1, 'doorknob': 1, 'astronaut cap': 1, 'bar': 1, 'bat': 1, 'fingertip': 1}",52,0.5777777777777777,90
